fii_name,fii_type,date_process
MGCR11,Fii,2024-11-09
HOFC11,Fii,2024-11-09
SEQR11,Fii,2024-11-09
KNUQ11,Fii,2024-11-09
CPFF11,Fii,2024-11-09
FVPQ11,Fii,2024-11-09
HCRI11,Fii,2024-11-09
PLCA11,Fii,2024-11-09
BTCR11,Fii,2024-11-09
KINP11,Fii,2024-11-09
VCRR11,Fii,2024-11-09
LSPA11,Fii,2024-11-09
EURO11,Fii,2024-11-09
IBCR11,Fii,2024-11-09
MAXR11,Fii,2024-11-09
RBHY11,Fii,2024-11-09
BPRP11,Fii,2024-11-09
SNLG11,Fii,2024-11-09
BBFO11,Fii,2024-11-09
PQDP11,Fii,2024-11-09
HSAF11,Fii,2024-11-09
OULG11,Fii,2024-11-09
OGIN11,Fii,2024-11-09
AZIN11,Fii,2024-11-09
FLMA11,Fii,2024-11-09
IAGR11,Fii,2024-11-09
GRWA11,Fii,2024-11-09
IAAG11,Fii,2024-11-09
RBLG11,Fii,2024-11-09
VGRI11,Fii,2024-11-09
RBRD11,Fii,2024-11-09
FLCR11,Fii,2024-11-09
NSLU11,Fii,2024-11-09
CNES11,Fii,2024-11-09
ITIT11,Fii,2024-11-09
HREC11,Fii,2024-11-09
CLIN11,Fii,2024-11-09
RINV11,Fii,2024-11-09
IDFI11,Fii,2024-11-09
CXCI11,Fii,2024-11-09
RELG11,Fii,2024-11-09
RNGO11,Fii,2024-11-09
HGBL11,Fii,2024-11-09
SNFZ11,Fii,2024-11-09
BLCA11,Fii,2024-11-09
LASC11,Fii,2024-11-09
GCRI11,Fii,2024-11-09
CXCE11B,Fii,2024-11-09
GTLG11,Fii,2024-11-09
CXCE11,Fii,2024-11-09
BMLC11,Fii,2024-11-09
IRIM11,Fii,2024-11-09
CEOC11,Fii,2024-11-09
INRD11,Fii,2024-11-09
BRIM11,Fii,2024-11-09
DVFF11,Fii,2024-11-09
RBOP11,Fii,2024-11-09
FIIP11B,Fii,2024-11-09
BTHI11,Fii,2024-11-09
LUGG11,Fii,2024-11-09
ERCR11,Fii,2024-11-09
SCPF11,Fii,2024-11-09
NEWU11,Fii,2024-11-09
SNME11,Fii,2024-11-09
GZIT11,Fii,2024-11-09
NUIF11,Fii,2024-11-09
PFIN11,Fii,2024-11-09
XPID11,Fii,2024-11-09
TRXB11,Fii,2024-11-09
JFLL11,Fii,2024-11-09
HLOG11,Fii,2024-11-09
HBCR11,Fii,2024-11-09
BRIP11,Fii,2024-11-09
HSRE11,Fii,2024-11-09
FLRP11,Fii,2024-11-09
RRCI11,Fii,2024-11-09
XPIE11,Fii,2024-11-09
ITIP11,Fii,2024-11-09
ICRI11,Fii,2024-11-09
SHPH11,Fii,2024-11-09
FZDA11,Fii,2024-11-09
LPLP11,Fii,2024-11-09
CCME11,Fii,2024-11-09
TCPF11,Fii,2024-11-09
IFRI11,Fii,2024-11-09
RNDP11,Fii,2024-11-09
XPHT12,Fii,2024-11-09
BRZP11,Fii,2024-11-09
HOSI11,Fii,2024-11-09
PQAG11,Fii,2024-11-09
EVBI11,Fii,2024-11-09
RBIF11,Fii,2024-11-09
VSEC11,Fii,2024-11-09
TSER11,Fii,2024-11-09
EDGA11,Fii,2024-11-09
RPRI11,Fii,2024-11-09
AROA11,Fii,2024-11-09
CRFF11,Fii,2024-11-09
RBTS11,Fii,2024-11-09
RFOF11,Fii,2024-11-09
CBOP11,Fii,2024-11-09
FIVN11,Fii,2024-11-09
VVCO11,Fii,2024-11-09
GLOG11,Fii,2024-11-09
VERE11,Fii,2024-11-09
HUSC11,Fii,2024-11-09
FCFL11,Fii,2024-11-09
VRTM11,Fii,2024-11-09
WPLZ11,Fii,2024-11-09
CXTL11,Fii,2024-11-09
NVIF11B,Fii,2024-11-09
CXRI11,Fii,2024-11-09
VPSI11,Fii,2024-11-09
MFCR11,Fii,2024-11-09
PPEI11,Fii,2024-11-09
HCHG11,Fii,2024-11-09
ITRI11,Fii,2024-11-09
